JDMOVE%,DJHIGH,DJLOW,DJTREND,VIXMOVE%,VIXHIGH,VIXLOW,VIXTREND,SUPERTREND,RESULT,LABEL
0.851563919,-0.04797741,0.872218024,1,-0.21114319,-1.777155703,0.695712671,-1,-1,0.831491869,1
0.831491869,-0.095111905,0.861280316,1,-1.233656227,-1.834901995,0.039598733,-1,-1,0.14719899,0
0.14719899,-0.187580493,0.30513108,1,-0.087997184,-0.873057447,0.669415259,-1,-1,-0.048636051,0
-0.048636051,-0.249625288,0.164909646,-1,0.712452429,-0.563614121,2.209547761,1,-1,-0.299334332,0
-0.299334332,-0.499962202,0.101040982,-1,3.511423238,0,3.885444083,1,-1,0.149797742,0
0.149797742,-0.20904243,0.528305559,1,-0.994854202,-2.574056882,1.763046544,-1,-1,-0.643587705,-1
-0.643587705,-0.750777931,0.022116434,-1,2.955708488,-0.299043062,3.41191067,1,-1,0.264390572,0
0.264390572,-0.113879861,0.372835845,1,-1.826131687,-2.370193537,0.814368094,-1,-1,0.569116808,1
0.569116808,-0.118744585,0.622788526,1,-1.792704626,-3.437869046,0.090674162,-1,-1,-0.211663481,0
-0.211663481,-0.388577181,0.229883628,-1,-3.627731996,-3.71397888,0.612521625,-1,1,-0.545899053,-1
-0.545899053,-0.924275831,0.179226907,-1,2.207474999,-1.771636106,2.254599106,1,-1,0.225767559,0
0.225767559,-0.15985201,0.273855268,1,-0.685151975,-0.835629017,0.751037925,-1,-1,0.182929276,0
0.182929276,-0.212635927,0.31574098,1,0.655949741,-0.855400855,1.03398711,1,1,-0.184699196,0
-0.184699196,-0.320126496,0.441551349,1,0.283057016,-0.548055073,1.838755304,1,1,-1.358158591,-1
-1.358158591,-1.542580237,0.518348487,-1,5.750325448,-3.125257011,7.560953338,1,-1,-0.801983492,-1
-0.801983492,-2.240810195,0.080987917,-1,7.7017529,-2.573825118,12.9128196,1,-1,-0.326715353,0
-0.326715353,-0.790140857,0.895381981,1,0.920969773,-3.789584271,1.560519645,-1,-1,-3.246958487,-1
-3.246958487,-3.471540607,0.246932211,-1,6.128891792,-1.185890939,7.26152492,1,-1,2.074054329,1
2.074054329,-0.284123404,3.584485128,1,-2.251867663,-7.291315203,0.094714218,-1,-1,0.0874351,0
0.0874351,-0.377274503,2.138388588,1,-6.443298969,-8.257124805,0.473450361,-1,-1,1.758811503,1
1.758811503,-0.007576857,2.042065308,1,-3.554994805,-5.139061245,0.549365522,-1,-1,-0.098087782,0
-0.098087782,-0.528075643,0.691659127,1,1.78361798,-2.073086312,2.79180052,1,1,-1.611133074,-1
-1.611133074,-1.85030898,0.236253997,-1,5.521427527,-0.379729357,5.947573243,1,-1,1.701747413,1
1.701747413,-0.331123698,2.222388684,1,-8.967678213,-8.989376192,0.116117916,-1,-1,-3.209547309,-1
-3.209547309,-3.372908464,0.102158415,-1,6.317260657,-0.141117784,8.485453508,1,-1,0.657896885,1
0.657896885,-0.507154811,1.383529304,1,-0.535690371,-4.07800846,1.226659398,-1,-1,1.260893177,1
1.260893177,-0.053992205,1.314335337,1,-3.364556788,-3.573760352,0.443855818,-1,-1,0.636486986,1
0.636486986,-0.443655571,0.636486986,1,-3.138176798,-3.780858477,0.35179959,-1,-1,-0.686562435,-1
-0.686562435,-0.997420781,0.038574924,-1,1.655958391,-0.694885493,2.317256245,1,-1,1.35676804,1
1.35676804,-0.129428169,1.358729824,1,-0.905243358,-1.675869041,0.233867132,-1,-1,-0.064009979,0
