01/04/2019,-1
02/04/2019,-1
03/04/2019,0
04/04/2019,0
05/04/2019,1
08/04/2019,1
09/04/2019,1
10/04/2019,0
11/04/2019,0
12/04/2019,0
15/04/2019,1
16/04/2019,0
17/04/2019,0
18/04/2019,0
22/04/2019,1
23/04/2019,1
24/04/2019,-1
25/04/2019,1
26/04/2019,1
29/04/2019,-1
30/04/2019,0
01/05/2019,0
02/05/2019,0
03/05/2019,0
06/05/2019,-1
07/05/2019,1
08/05/2019,0
09/05/2019,1
10/05/2019,0
13/05/2019,1
14/05/2019,0
15/05/2019,-1
16/05/2019,-1
17/05/2019,-1
20/05/2019,1
21/05/2019,1
22/05/2019,-1
23/05/2019,0
24/05/2019,0
28/05/2019,1
29/05/2019,0
30/05/2019,0
31/05/2019,-1
03/06/2019,0
04/06/2019,0
05/06/2019,-1
06/06/2019,1
07/06/2019,1
10/06/2019,1
11/06/2019,0
12/06/2019,0
13/06/2019,0
14/06/2019,-1
17/06/2019,1
18/06/2019,-1
19/06/2019,-1
20/06/2019,1
21/06/2019,-1
24/06/2019,0
25/06/2019,0
26/06/2019,0
27/06/2019,0
28/06/2019,-1
01/07/2019,1
02/07/2019,1
03/07/2019,-1
05/07/2019,-1
08/07/2019,-1
09/07/2019,0
10/07/2019,1
11/07/2019,-1
12/07/2019,-1
15/07/2019,-1
16/07/2019,0
17/07/2019,0
18/07/2019,0
19/07/2019,1
22/07/2019,0
23/07/2019,0
24/07/2019,-1
25/07/2019,-1
26/07/2019,0
29/07/2019,-1
30/07/2019,-1
31/07/2019,1
01/08/2019,0
02/08/2019,0
05/08/2019,0
06/08/2019,0
07/08/2019,-1
08/08/2019,1
09/08/2019,-1
12/08/2019,0
13/08/2019,0
14/08/2019,-1
15/08/2019,0
16/08/2019,-1
19/08/2019,-1
20/08/2019,-1
21/08/2019,0
22/08/2019,-1
23/08/2019,0
26/08/2019,0
27/08/2019,-1
28/08/2019,0
29/08/2019,1
30/08/2019,-1
03/09/2019,0
04/09/2019,0
05/09/2019,-1
06/09/2019,-1
09/09/2019,1
10/09/2019,0
11/09/2019,-1
12/09/2019,1
13/09/2019,1
16/09/2019,-1
17/09/2019,0
18/09/2019,-1
19/09/2019,-1
20/09/2019,0
23/09/2019,0
24/09/2019,1
25/09/2019,0
26/09/2019,-1
27/09/2019,0
30/09/2019,0
01/10/2019,-1
02/10/2019,0
03/10/2019,0
04/10/2019,-1
07/10/2019,1
08/10/2019,0
09/10/2019,0
10/10/2019,-1
11/10/2019,-1
14/10/2019,-1
15/10/2019,-1
16/10/2019,-1
17/10/2019,1
18/10/2019,1
21/10/2019,0
22/10/2019,0
23/10/2019,0
24/10/2019,0
25/10/2019,0
28/10/2019,1
29/10/2019,1
30/10/2019,-1
31/10/2019,1
01/11/2019,0
04/11/2019,-1
05/11/2019,-1
06/11/2019,1
07/11/2019,0
08/11/2019,-1
11/11/2019,0
12/11/2019,1
13/11/2019,0
14/11/2019,1
15/11/2019,1
18/11/2019,-1
19/11/2019,-1
20/11/2019,0
21/11/2019,0
22/11/2019,0
25/11/2019,-1
26/11/2019,-1
27/11/2019,1
29/11/2019,1
02/12/2019,1
03/12/2019,0
04/12/2019,-1
05/12/2019,-1
06/12/2019,0
09/12/2019,-1
10/12/2019,0
11/12/2019,0
12/12/2019,-1
13/12/2019,-1
16/12/2019,-1
17/12/2019,-1
18/12/2019,1
19/12/2019,1
20/12/2019,1
23/12/2019,1
24/12/2019,-1
26/12/2019,0
27/12/2019,-1
30/12/2019,1
31/12/2019,0
