DJMOVE,DJHIGH,DJLOW,DJTREND,RESULT,LABEL
-0.947055843,-1.121367117,0.07503078,-1,-0.225772444,0
-0.225772444,-0.70278321,0.451937791,-1,0.824911639,1
0.824911639,-0.051622907,0.951552145,1,1.190363643,1
1.190363643,-0.149936725,1.857030593,1,-0.940795986,-1
-0.940795986,-1.566911304,0.856256386,-1,0.187315364,0
0.187315364,-0.26610337,0.828754464,1,-0.639755302,-1
-0.639755302,-0.676054464,1.23664051,1,0.651926134,1
0.651926134,-0.197927223,1.965194201,1,-1.768947416,-1
-1.768947416,-2.084695491,0.231919792,-1,1.136585653,1
1.136585653,-0.41341572,1.401163028,1,0.359522882,0
0.359522882,-0.171153136,1.368879143,1,0.824373463,1
0.824373463,-0.339810146,1.238704489,1,-0.380584668,0
-0.380584668,-0.644324186,0.60639004,-1,-0.304545192,0
-0.304545192,-0.783754461,0.548950667,-1,0.573250314,1
0.573250314,-0.077997789,0.633480679,1,-0.353801354,0
-0.353801354,-0.52304546,0.116162933,-1,-1.202833923,-1
-1.202833923,-1.214336732,0.536193686,-1,0.519859366,1
0.519859366,-0.164448291,0.6482035,1,-1.080221987,-1
-1.080221987,-1.36370694,0.095889501,-1,-0.968362655,-1
-0.968362655,-1.038629529,0.689004534,-1,0.356574131,0
0.356574131,-0.111822389,0.548863045,1,-1.470155721,-1
-1.470155721,-1.526890073,0.0617339,-1,0.560026558,1
0.560026558,-0.249477883,1.086900411,1,1.744347518,1
1.744347518,-0.012628878,2.109184661,1,0.745460118,1
0.745460118,-0.030136787,0.834942365,1,1.028460525,1
1.028460525,-0.246892823,1.231121703,1,1.240507779,1
1.240507779,-0.309497879,1.260231362,1,-0.682896118,-1
-0.682896118,-0.682896118,0.162088954,-1,-0.135308817,0
-0.135308817,-0.741018155,0.215408062,-1,-0.185391538,0
-0.185391538,-0.314340619,0.210404065,-1,0.391015288,0
0.391015288,-0.114761505,0.897253639,1,-0.018376786,0
-0.018376786,-0.202578712,0.453995471,1,0.006504851,0
0.006504851,-0.291258875,0.291806358,1,1.334078405,1
1.334078405,-0.158319282,1.656495325,1,0.19345585,0
0.19345585,-0.195723008,0.393750438,1,0.998797486,1
0.998797486,-0.123132118,1.010231757,1,-0.24411782,0
-0.24411782,-0.839846791,0.047621067,-1,0.300733424,0
0.300733424,-0.201472465,0.317657123,1,-0.720987336,-1
-0.720987336,-0.97834913,0.086710095,-1,-0.027496736,0
-0.027496736,-0.563547683,0.168727786,-1,0.121462931,0
0.121462931,-0.406726523,0.420326536,1,0.296019001,0
0.296019001,-0.013124014,0.560025071,1,-0.361106866,0
-0.361106866,-0.674577099,0.360716893,-1,0.412761496,0
0.412761496,-0.007459717,0.662732327,1,0.689231337,1
0.689231337,-0.018530685,0.886879194,1,-0.366102604,0
-0.366102604,-0.421450731,0.596741274,1,-0.464719419,0
-0.464719419,-0.468420499,0.18208181,-1,-0.017920833,0
-0.017920833,-0.10817769,0.465568752,1,0.325689466,0
